Sample_Name Bcell CD4T CD8T Gran Mono NK nRBC
GSM1947089_5806636039_R06C02 GSM1947089_5806636039_R06C02 0.0221969893226542 0 0.375570440585847 0.0370693002136263 0.065388139631971 2.67920862521249e-20 0.617599823310394
GSM1947090_6190781088_R05C02 GSM1947090_6190781088_R05C02 0.0150965678066752 0 0.35636918440448 0.0112241220167932 0.106843467413504 1.63807276341485e-20 0.629609643478222
GSM1947091_5859594009_R05C01 GSM1947091_5859594009_R05C01 0.0181784887779375 0 0.358062982048238 0.0448861513022267 0.0690532016095813 2.81764028767349e-20 0.612361405093342
GSM1947092_6008581008_R03C01 GSM1947092_6008581008_R03C01 0.00662532523280827 0 0.33832044984694 0.038494539856915 0.0909492590559882 3.47012862926177e-20 0.617411395339397
GSM1947093_5806636038_R03C02 GSM1947093_5806636038_R03C02 0.00240078234219206 0 0.366027869933973 0.0379736392644269 0.0942890506434002 1.95822158807509e-20 0.622986403371681
GSM1947094_6008581005_R01C02 GSM1947094_6008581005_R01C02 0.0123688250065271 0 0.356655561858322 0.0348346505783498 0.0979417506260905 3.77558559757531e-20 0.606503863637218
GSM1947095_6008581003_R04C01 GSM1947095_6008581003_R04C01 0.00324783220952695 0 0.355938643336397 0.0533589643384393 0.0730755627650092 3.74670275649969e-20 0.618425509144194
GSM1947096_5806636085_R03C01 GSM1947096_5806636085_R03C01 0 4.06327312296971e-18 0.371244766079827 0.0499465696921869 0.0767068782626718 1.70958865801309e-19 0.63419008428468
GSM1947097_5806417077_R02C01 GSM1947097_5806417077_R02C01 0.000326390815855256 -6.93889390390723e-18 0.360900373190223 0.0418490702981809 0.0875917025215755 3.75964689850756e-20 0.625270259895829
GSM1947098_5806636038_R05C01 GSM1947098_5806636038_R05C01 0 -1.01154797005229e-18 0.368111751422714 0.032737412468322 0.09236484921994 7.49620125960704e-20 0.625760563632518
GSM1947099_5859720029_R05C02 GSM1947099_5859720029_R05C02 0.000461712094915795 0 0.361332372352055 0.0400111005841347 0.0928521339031618 3.26888237017736e-20 0.623042768568531
GSM1947100_6008581009_R04C02 GSM1947100_6008581009_R04C02 0 -9.55487746435436e-20 0.348376236300937 0.0572001206763797 0.0707200002917653 5.91490427377435e-20 0.617344568898363
GSM1947101_6008581008_R06C01 GSM1947101_6008581008_R06C01 0.000239926809948038 0 0.34714167654143 0.0563053419526694 0.091951198822315 4.69107207009397e-20 0.608440877050457
GSM1947102_5806636039_R05C02 GSM1947102_5806636039_R05C02 0.00517816670186439 0 0.37282882219325 0.0479229468252474 0.0647239953238609 5.55366872185842e-17 0.633398607572243
GSM1947103_5806636059_R04C01 GSM1947103_5806636059_R04C01 -6.7762635780344e-21 -1.58403292607599e-18 0.315165466388336 0.084238769926498 0.077807229252454 -5.15769559001762e-21 0.598872752024882
GSM1947104_5859720012_R01C02 GSM1947104_5859720012_R01C02 0 5.7707411384386e-18 0.381620082640721 0.0422465505919818 0.0730052072417238 9.52836783002659e-20 0.638827221733778
GSM1947105_5806417064_R01C01 GSM1947105_5806417064_R01C01 0 -9.91825526937544e-19 0.358902471914381 0.0522196369968887 0.0920114944920833 -5.54431353421448e-17 0.584812789850592
GSM1947106_5806636059_R02C02 GSM1947106_5806636059_R02C02 0 -5.24133282704225e-19 0.329923256333539 0.0386978128933021 0.0931688121296158 7.36164936413998e-20 0.626458573643477
GSM1947107_5806636030_R04C02 GSM1947107_5806636030_R04C02 0 -2.30622038717656e-18 0.366937784820536 0.0295064065066164 0.093218880398274 1.53301153284227e-19 0.632182855527911
GSM1947108_5806636085_R02C01 GSM1947108_5806636085_R02C01 0.00347257810582889 0 0.371006869042618 0.0354160421743588 0.0904073927720732 3.34610762166859e-20 0.628028844793155
GSM1947109_6008581009_R04C01 GSM1947109_6008581009_R04C01 0 -1.30647181917868e-18 0.352659009827692 0.0282570820918176 0.0900626579916391 1.06380191409472e-19 0.637422641117748
GSM1947110_5806636086_R02C01 GSM1947110_5806636086_R02C01 0.0187116901928678 0 0.356326772427928 0.0370136541502231 0.103113642726273 2.32100920135967e-20 0.60290571669989
GSM1947111_6190781088_R04C01 GSM1947111_6190781088_R04C01 0 -5.17445911419673e-19 0.373829744269032 0.0366857878498689 0.0905875052031048 4.70289365288209e-20 0.621498538466886
GSM1947112_5806636034_R06C01 GSM1947112_5806636034_R06C01 0 -1.07753087981807e-18 0.356192301909539 0.0539569826413685 0.0727779365981572 9.20547429533518e-20 0.61875156040003
GSM1947113_3999997076_R01C01 GSM1947113_3999997076_R01C01 0 -1.84810449304027e-18 0.375400083928467 0.0501886606413601 0.0578980677670784 1.25624810669785e-19 0.638515481186251
GSM1947114_5806636030_R03C02 GSM1947114_5806636030_R03C02 0 -8.86788840915294e-18 0.37451557745617 0.0426088603976932 0.0885107183906814 1.25461326408637e-19 0.615563179038835
GSM1947115_5806636030_R02C02 GSM1947115_5806636030_R02C02 0.00783559447247213 0 0.365271630941702 0.0366178344867849 0.0933317171068546 3.79011698149252e-20 0.604220763505627
GSM1947116_5806636029_R04C02 GSM1947116_5806636029_R04C02 0.00673415276839865 3.46944695195361e-18 0.374018107846615 0.0530929280532981 0.0694012742176545 1.97749251665483e-20 0.608154115870764
GSM1947117_6008581008_R03C02 GSM1947117_6008581008_R03C02 0.00217367833188163 0 0.364663245352666 0.0498585355494914 0.0824832965900299 3.25491178596634e-20 0.61292657140604
GSM1947118_5806636090_R03C01 GSM1947118_5806636090_R03C01 0 -1.15299611216852e-17 0.31788024893736 0.056245019914899 0.0816598613382605 -2.36988725184277e-18 0.619100510134942
GSM1947119_5806636035_R05C02 GSM1947119_5806636035_R05C02 0 -1.89363976709194e-18 0.354778228794235 0.0736502469078765 0.0469342884896716 1.39722803115572e-19 0.625251812516346
GSM1947120_5859720012_R06C02 GSM1947120_5859720012_R06C02 0.00840482288367456 0 0.34168545244289 0.0926247843333735 0.0669092384988041 3.66149082394381e-20 0.588570195901344
GSM1947121_5859594028_R03C02 GSM1947121_5859594028_R03C02 0 -8.47466541397163e-19 0.375176292362723 0.0475460609439251 0.0798947040968359 8.23513257666889e-20 0.602854359237298
GSM1947122_5806417081_R03C01 GSM1947122_5806417081_R03C01 0 -1.40028462249654e-18 0.349977299633751 0.0324952713166456 0.0926957790907289 1.22799439969162e-19 0.625942575687806
GSM1947123_5806417076_R05C01 GSM1947123_5806417076_R05C01 0 -1.93347495987498e-18 0.360775092480781 0.04555618437711 0.0821362762854574 1.3273917201156e-19 0.622464925856224
GSM1947124_6008581008_R01C01 GSM1947124_6008581008_R01C01 0.00768128298537475 0 0.369151764392551 0.0451437517799761 0.0819881087272137 3.1828632636328e-20 0.596216376865428
GSM1947125_5859594025_R01C02 GSM1947125_5859594025_R01C02 0 -7.88879879491887e-18 0.37671700957466 0.0556292263662207 0.0697778701601127 8.22497593316856e-20 0.614763038155357
GSM1947126_5859594028_R02C02 GSM1947126_5859594028_R02C02 0.00746744624929566 0 0.361046396655907 0.053727048844159 0.0838171157044696 4.7419348457301e-20 0.598066706326729
GSM1947127_5806636037_R05C01 GSM1947127_5806636037_R05C01 0 -7.53906856721927e-21 0.372106258334583 0.0634085341129 0.066718800032892 2.65555813478974e-20 0.603976222157409
GSM1947128_6008581028_R02C02 GSM1947128_6008581028_R02C02 0 -1.47286781212638e-18 0.358853428451481 0.0473808536305174 0.0676503651691482 1.21005165628825e-19 0.622713955348939
GSM1947129_6008581009_R03C02 GSM1947129_6008581009_R03C02 0 -1.73325053483099e-18 0.350814058716564 0.053183448881311 0.0772161039916946 1.26634696303797e-19 0.620927874424758
GSM1947130_5806636086_R06C01 GSM1947130_5806636086_R06C01 0.00480278602138962 0 0.350288866685331 0.0555859107281607 0.0819604439599839 3.63824518650864e-20 0.624806152208914
GSM1947131_5859594009_R01C02 GSM1947131_5859594009_R01C02 0 -2.38343155224945e-19 0.357593743904722 0.0497340696825538 0.0809448404189768 3.93318844924455e-20 0.61877713809194
GSM1947132_5806636019_R03C01 GSM1947132_5806636019_R03C01 0.00815416632036707 0 0.372200654084556 0.0346869213109934 0.0828381517277524 3.4263969962104e-20 0.616502493650118
GSM1947133_6008581008_R04C01 GSM1947133_6008581008_R04C01 -1.73472347597681e-18 -2.14653257814364e-18 0.348098005799466 0.0533215951698135 0.074635633642321 5.56588642273379e-17 0.619030753564486
GSM1947134_5859720025_R04C02 GSM1947134_5859720025_R04C02 0 -1.69589019242745e-18 0.370789560809047 0.0514335493076404 0.0617651854256074 1.20808043758132e-19 0.62273364666143
GSM1947135_5859720025_R03C02 GSM1947135_5859720025_R03C02 0 -1.29801756071641e-18 0.374011321674431 0.0412211370379231 0.0893177891085508 8.4516222757539e-20 0.622303516789729
GSM1947136_6008581003_R02C02 GSM1947136_6008581003_R02C02 0 -4.03431451143359e-19 0.361321913821398 0.0420393558624728 0.0770282785314402 5.94185000447239e-20 0.623749796336409
GSM1947137_5806636063_R01C01 GSM1947137_5806636063_R01C01 0 -4.99748150580675e-19 0.361141095898702 0.0879986672313724 0.0666143608623152 4.94813500114496e-20 0.592255049491936
GSM1947138_6008581009_R06C01 GSM1947138_6008581009_R06C01 0 -3.02225299580209e-18 0.348692407338048 0.0355132606637395 0.0983116094287659 1.84936916536541e-19 0.605776130450819
GSM1947139_5806417081_R06C02 GSM1947139_5806417081_R06C02 0 -3.61822137705376e-18 0.348587369776854 0.0504106040313364 0.0823936576976057 2.18435715622157e-19 0.615184275924882
GSM1947140_5806636059_R01C01 GSM1947140_5806636059_R01C01 0.0269905248773629 0 0.333436113359929 0.0616108770518691 0.0883866196544141 5.55520160779502e-17 0.571075582691404
GSM1947141_5806636090_R03C02 GSM1947141_5806636090_R03C02 0 -5.11838854435272e-18 0.334432641036363 0.059454787369276 0.0669999385351102 2.97238788098154e-19 0.602819312014394
GSM1947142_5806636063_R06C02 GSM1947142_5806636063_R06C02 0 6.35682232587714e-18 0.359254752062557 0.0515947125122586 0.0983162428858739 6.14257718460263e-20 0.59262857372389
GSM1947143_5806636030_R01C02 GSM1947143_5806636030_R01C02 0.00418965584373378 0 0.358822412197004 0.0344050479611966 0.097418859391059 -5.54787053322525e-17 0.613459644524192
GSM1947144_6008581028_R05C02 GSM1947144_6008581028_R05C02 0.00228155435182165 0 0.346195098695956 0.0676974538807476 0.0619415103590231 4.24313701435811e-20 0.60043353004988
GSM1947145_5806636030_R05C01 GSM1947145_5806636030_R05C01 0.00776467044038345 6.93889390390723e-18 0.373190672678851 0.0533922377482444 0.0703243248916352 3.85027194831208e-20 0.611070938527851
GSM1947146_5806417045_R06C02 GSM1947146_5806417045_R06C02 0 -7.59682535251972e-18 0.371627621580315 0.0520597638600357 0.0620419434191169 6.73166140527673e-20 0.627364298634746
GSM1947147_5806636085_R03C02 GSM1947147_5806636085_R03C02 0.0112096033265817 6.93889390390723e-18 0.346724890972128 0.035983304462677 0.0920945127125872 3.7252594740972e-20 0.612859792665533
GSM1947148_5806636030_R04C01 GSM1947148_5806636030_R04C01 -4.33680868994202e-19 -5.54554324983754e-19 0.363826432883141 0.0265108496406605 0.0834505486017332 6.69329215526501e-20 0.641283929092717
GSM1947149_5806636085_R04C02 GSM1947149_5806636085_R04C02 -8.67361737988404e-19 -1.09185691378088e-18 0.374314947904713 0.0486630053350881 0.0728818356810403 9.6775801302604e-20 0.619917022691259
GSM1947150_5806636063_R05C02 GSM1947150_5806636063_R05C02 0.0110255665385645 -6.93889390390723e-18 0.357639139026141 0.0398557519396006 0.100980715471193 3.51352607207981e-20 0.608915047370823
GSM1947151_5859720025_R05C02 GSM1947151_5859720025_R05C02 0 -1.93048706924458e-18 0.366363547078586 0.0448356211479824 0.0941880856979698 1.19035046002911e-19 0.60771271509355
GSM1947152_5806636035_R06C01 GSM1947152_5806636035_R06C01 0 -2.41367605272517e-18 0.327088159851862 0.0995370890567333 0.0635689781087714 1.68175635128973e-19 0.587723704092369
GSM1947153_5859720011_R03C01 GSM1947153_5859720011_R03C01 0.0174730434489302 0 0.360244826844139 0.057284154585555 0.0525706831004323 4.87936219256864e-20 0.620599273873518
GSM1947154_5806636020_R02C01 GSM1947154_5806636020_R02C01 0.0212802353433746 0 0.372587395017773 0.0791858426918454 0.044279339752732 3.31779286297416e-20 0.579736623579086
GSM1947155_5806636086_R01C02 GSM1947155_5806636086_R01C02 0.00220372092412057 6.93889390390723e-18 0.35832991795017 0.0383391059313796 0.0958110308929316 -5.54726729940919e-17 0.612658388173747
GSM1947156_5806636020_R06C01 GSM1947156_5806636020_R06C01 0.00791700943596666 0 0.382955264899392 0.0765027484071482 0.0283525332985421 3.22921169258119e-20 0.609109817583147
GSM1947157_5806636039_R03C01 GSM1947157_5806636039_R03C01 0 -1.27349655729856e-18 0.368949068423964 0.0457135800451363 0.0938154775767025 9.2303996796964e-20 0.601862352030857
GSM1947158_5806636036_R05C02 GSM1947158_5806636036_R05C02 0 -3.74229849002311e-18 0.341898223745789 0.0695387796769048 0.05667564557739 -4.4372094482112e-19 0.598987563972782
GSM1947159_6008581014_R05C01 GSM1947159_6008581014_R05C01 0 -2.47509762360521e-18 0.338497660918577 0.0446292170573237 0.0868072677919437 1.77290185952747e-19 0.616208921023508
GSM1947160_5806636035_R01C01 GSM1947160_5806636035_R01C01 0.0139301438105829 0 0.334089620101465 0.0551943067154336 0.0694137910373519 4.54793440780889e-20 0.608547495871057
GSM1947161_5806636020_R04C01 GSM1947161_5806636020_R04C01 0.0209786552454446 0 0.358087528711595 0.0665425622450569 0.06928208190647 2.66507053522874e-20 0.591552757690645
GSM1947163_5806636026_R03C02 GSM1947163_5806636026_R03C02 0 -2.81420750695838e-18 0.346813720645842 0.0440208535862636 0.0916463782489625 1.8024878345668e-19 0.622450003089583
GSM1947191_6008581028_R06C01 GSM1947191_6008581028_R06C01 0 -5.51718032984289e-19 0.338381109587766 0.0584361280853812 0.0715554834923421 8.19921563509306e-20 0.625033751814857
GSM1947192_6008581009_R05C02 GSM1947192_6008581009_R05C02 0.0084522784163928 0 0.347969690120833 0.0432067222716429 0.0961044797563114 5.02379092544578e-20 0.607466680502849
GSM1947193_6008581026_R05C02 GSM1947193_6008581026_R05C02 0 -1.22961683606136e-18 0.363481180664248 0.056251532462637 0.0698888003820032 1.13435224282124e-19 0.607522717362562
GSM1947194_5806636034_R01C01 GSM1947194_5806636034_R01C01 0 -6.68824740636027e-19 0.354426354386049 0.0810178365169459 0.0492176899101775 8.22217969252258e-20 0.601398293224533
GSM1947195_6008581005_R01C01 GSM1947195_6008581005_R01C01 0 6.52220133899473e-18 0.361405962279527 0.0391584213815727 0.0993573368036382 5.63257533608309e-20 0.606135073479078
GSM1947196_5806417076_R02C02 GSM1947196_5806417076_R02C02 0 -9.79776683216682e-18 0.371779711390898 0.0372927653280301 0.0828202520448208 1.76095218151049e-19 0.632065824937436
GSM1947197_5806636030_R03C01 GSM1947197_5806636030_R03C01 0 -2.4777043857354e-19 0.370884484214859 0.0380548410786064 0.0883698062153817 4.51724785498462e-20 0.623072174013804
GSM1947198_5806636030_R02C01 GSM1947198_5806636030_R02C01 0.0132048663528556 0 0.359560247613216 0.0242046499725809 0.0962634990411666 2.76993340450086e-20 0.623911271845901
GSM1947199_6008581026_R01C02 GSM1947199_6008581026_R01C02 0.0121859711383136 0 0.347574941198922 0.0411289671192211 0.0940852744353212 4.53749848357086e-20 0.607170717005926
GSM1947200_6008581008_R05C01 GSM1947200_6008581008_R05C01 0 -2.92509839787955e-19 0.355189774481147 0.0562505628277793 0.0901473614983284 6.0835608991939e-20 0.597183819847766
GSM1947201_5806636027_R03C01 GSM1947201_5806636027_R03C01 0.0303945676804814 0 0.332094112557355 0.0764492097899278 0.0397377485856764 4.96893953814387e-20 0.588336867546871
GSM1947202_5806636079_R03C01 GSM1947202_5806636079_R03C01 0 -1.93128843711578e-18 0.321964081421862 0.037437946927126 0.0950329815917577 1.53629312149565e-19 0.620205514152107
GSM1947203_5859720011_R06C01 GSM1947203_5859720011_R06C01 0.000109022629964726 0 0.365344167757145 0.0681645277362066 0.0695602635838507 4.86013817655024e-20 0.604119412808299
GSM1947204_5806636085_R01C02 GSM1947204_5806636085_R01C02 0 -3.13604689076049e-18 0.37074421002612 0.0527443416599869 0.0763244379276401 1.79500112721884e-19 0.605267051653681
GSM1947205_5806636051_R05C01 GSM1947205_5806636051_R05C01 0 -2.3924797365706e-18 0.37741185064065 0.0537713405945973 0.069221031452047 1.59075945751219e-19 0.621536247796511
GSM1947206_5806636020_R05C02 GSM1947206_5806636020_R05C02 0.0221652015226875 0 0.369152363978139 0.0716212149386179 0.0547312155445885 1.76775274990042e-20 0.585865524229592
GSM1947207_5859720012_R06C01 GSM1947207_5859720012_R06C01 0.0188191125990697 -6.93889390390723e-18 0.366938358303209 0.053175945508582 0.0642917531471472 4.00913932341523e-20 0.610611760004664
GSM1947208_5806636027_R02C01 GSM1947208_5806636027_R02C01 0.0121521010461075 0 0.360465980034951 0.0588080172475626 0.0571364817319311 5.55483354358976e-17 0.595028764545922
GSM1947209_5806417009_R06C02 GSM1947209_5806417009_R06C02 0 -7.5043726987869e-18 0.371827384250355 0.0493098786692222 0.0852308613356235 6.7413771192375e-20 0.615703668976116
GSM1947210_5859594028_R02C01 GSM1947210_5859594028_R02C01 0 -7.77399099530398e-20 0.390101391568644 0.0527997150391465 0.0656780336269562 3.80263128866034e-20 0.616478096384222
GSM1947211_5859594006_R06C02 GSM1947211_5859594006_R06C02 0.0011176147831826 0 0.359577086652718 0.0460988659591869 0.0742352846551984 4.69337207185968e-20 0.616983094659061
GSM1947212_6008581026_R03C01 GSM1947212_6008581026_R03C01 0.00201019578605777 0 0.359114628286712 0.0374112262048873 0.0935807166625995 5.55568764128956e-17 0.607621043096238
GSM1947213_6008581028_R01C01 GSM1947213_6008581028_R01C01 0.0136759478146444 0.00107223321422756 0.314682387557669 0.167696466091963 0.0860879667312304 0 0.480296027931374
GSM1947214_5806636028_R05C01 GSM1947214_5806636028_R05C01 0.00450086905613774 0 0.344043067501779 0.0827847974356412 0.0510581485135417 4.98481726005108e-20 0.593172140609675
GSM1947215_5806636034_R03C01 GSM1947215_5806636034_R03C01 0.010605216581579 0 0.343810453246773 0.0603119510444521 0.0513545271857894 5.14872849243708e-20 0.626009286970416
